model,variable,metric,value
diffusion,maximum_radar_reflectivity,rmse,4.137173123302913
diffusion,maximum_radar_reflectivity,mae,2.4288753384635564
diffusion,maximum_radar_reflectivity,bias,-0.29547490539317506
diffusion,maximum_radar_reflectivity,crps,1.0656446786153884
diffusion,maximum_radar_reflectivity,spread,2.03756259452729
diffusion,maximum_radar_reflectivity,spread_skill,0.496394877632459
diffusion,maximum_radar_reflectivity,pattern_corr,0.6788264633644194
diffusion,temperature_2m,rmse,0.7840175323543095
diffusion,temperature_2m,mae,0.5550736894919759
diffusion,temperature_2m,bias,-0.04299758792123092
diffusion,temperature_2m,crps,0.2264015685234751
diffusion,temperature_2m,spread,0.46512936233055024
diffusion,temperature_2m,spread_skill,0.6019497045448848
diffusion,temperature_2m,pattern_corr,0.9857922331208274
diffusion,eastward_wind_10m,rmse,1.1768698678130196
diffusion,eastward_wind_10m,mae,0.8843289422137397
diffusion,eastward_wind_10m,bias,0.08557343594951644
diffusion,eastward_wind_10m,crps,0.3611612685379528
diffusion,eastward_wind_10m,spread,0.743315651303246
diffusion,eastward_wind_10m,spread_skill,0.6568201712909199
diffusion,eastward_wind_10m,pattern_corr,0.9350852178675788
diffusion,northward_wind_10m,rmse,1.3550335729405993
diffusion,northward_wind_10m,mae,1.010146711553846
diffusion,northward_wind_10m,bias,0.009482770542880254
diffusion,northward_wind_10m,crps,0.40034602653412593
diffusion,northward_wind_10m,spread,0.8638800474859419
diffusion,northward_wind_10m,spread_skill,0.659655553244409
diffusion,northward_wind_10m,pattern_corr,0.9328680811893373
diffusion,wind_speed_10m,rmse,1.1567022395985467
diffusion,wind_speed_10m,mae,0.8666252926701591
diffusion,wind_speed_10m,bias,-0.004063100570679775
diffusion,wind_speed_10m,crps,0.3437418880916777
diffusion,wind_speed_10m,spread,0.7423459532715025
diffusion,wind_speed_10m,spread_skill,0.6595276104552406
diffusion,wind_speed_10m,pattern_corr,0.9482545263710476
regression,maximum_radar_reflectivity,rmse,3.7655099020117806
regression,maximum_radar_reflectivity,mae,1.944098500978379
regression,maximum_radar_reflectivity,bias,-0.0705159412408691
regression,maximum_radar_reflectivity,crps,1.944098500978379
regression,maximum_radar_reflectivity,spread,0.0
regression,maximum_radar_reflectivity,spread_skill,0.0
regression,maximum_radar_reflectivity,pattern_corr,0.7384015165624165
regression,temperature_2m,rmse,0.6882715164905503
regression,temperature_2m,mae,0.48686317957582925
regression,temperature_2m,bias,0.027390366841462396
regression,temperature_2m,crps,0.48686317957582925
regression,temperature_2m,spread,0.0
regression,temperature_2m,spread_skill,0.0
regression,temperature_2m,pattern_corr,0.9888513655889601
regression,eastward_wind_10m,rmse,1.050237042563302
regression,eastward_wind_10m,mae,0.7716606890871411
regression,eastward_wind_10m,bias,-0.013524190981462155
regression,eastward_wind_10m,crps,0.7716606890871411
regression,eastward_wind_10m,spread,0.0
regression,eastward_wind_10m,spread_skill,0.0
regression,eastward_wind_10m,pattern_corr,0.9484466945841199
regression,northward_wind_10m,rmse,1.2258228893790926
regression,northward_wind_10m,mae,0.8999678300959724
regression,northward_wind_10m,bias,-0.08543758782824236
regression,northward_wind_10m,crps,0.8999678300959724
regression,northward_wind_10m,spread,0.0
regression,northward_wind_10m,spread_skill,0.0
regression,northward_wind_10m,pattern_corr,0.946110452924456
regression,wind_speed_10m,rmse,1.0661665186995553
regression,wind_speed_10m,mae,0.7808431358564467
regression,wind_speed_10m,bias,-0.08462033146393619
regression,wind_speed_10m,crps,0.7808431358564467
regression,wind_speed_10m,spread,0.0
regression,wind_speed_10m,spread_skill,0.0
regression,wind_speed_10m,pattern_corr,0.9588708742743447
